"congno","sticpsr","cd","stalpha","occup","score1","score2","year","stgj","po","dv","dvp","redist","i2","demqa","i1","demqal","nstate","dpvote","normvote","dvfix","dvpfix"
NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA
97,13,15,"NEW","YOR",0,-0.155,0.09,82,32,0,0.455,0.43,1,-1,-1,1,"1","New_York",0.4529,0.44590297773777,0.555
NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA
97,13,16,"NEW","YOR",0,-0.386,-0.221,82,32,0,NA,NA,1,1,1,0,"0","New_York",0.58654,0.57954297773777,NA
NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA
97,13,17,"NEW","YOR",0,0.155,-0.114,82,32,0,0.85,0.848,1,1,1,1,"0","New_York",0.46405,0.45705297773777,0.75
NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA
97,13,18,"NEW","YOR",0,-0.094,-0.315,82,32,0,NA,NA,1,1,1,-1,"-1","New_York",0.56692,0.55992297773777,NA
NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA
97,13,19,"NEW","YOR",0,-0.495,-0.173,82,32,0,NA,NA,1,1,1,1,"1","New_York",0.8741,0.86710297773777,NA
NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA
97,13,20,"NEW","YOR",0,-0.469,-0.304,82,32,1,0.578,0.6,1,1,0,1,"1","New_York",0.71299,0.70599297773777,0.478
NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA
97,13,21,"NEW","YOR",0,-0.559,-0.203,82,32,0,0.248,0.19,1,-1,-1,1,"1","New_York",0.91423,0.90723297773777,0.348
NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA
97,13,22,"NEW","YOR",0,-0.458,-0.167,82,32,0,0.443,NA,1,NA,0,1,"1","New_York",0.69531,0.68831297773777,NA
NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA
97,13,23,"NEW","YOR",0,-0.335,-0.062,82,32,0,0.799,0.813,1,1,1,1,"0","New_York",0.44766,0.44066297773777,0.699
NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA
97,13,24,"NEW","YOR",0,-0.472,-0.3,82,32,0,0.261,0.333,1,-1,-1,1,"0","New_York",0.42254,0.41554297773777,0.361
NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA
97,13,25,"NEW","YOR",0,0.033,-0.199,82,32,0,0.432,0.225,1,0,-1,-1,"-1","New_York",0.34533,0.33833297773777,0.432
NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA
97,13,26,"NEW","YOR",0,-0.001,-0.147,82,32,0,0.284,0.331,1,-1,-1,-1,"-1","New_York",0.37001,0.36301297773777,0.384
NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA
97,13,27,"NEW","YOR",0,-0.321,-0.095,82,32,1,0.454,0.343,1,-1,0,1,"1","New_York",0.44261,0.43561297773777,0.554
NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA
97,13,28,"NEW","YOR",0,-0.033,0.17,82,32,0,0.57,0.555,1,1,1,1,"1","New_York",0.55045,0.54345297773777,0.47
NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA
97,13,29,"NEW","YOR",0,0.397,-0.047,82,32,0,0.313,0.221,1,-1,-1,-1,"-1","New_York",0.38108,0.37408297773777,0.413
NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA
97,13,30,"NEW","YOR",0,0.237,-0.024,82,32,0,0.29,0.259,1,-1,-1,0,"0","New_York",0.49399,0.48699297773777,0.39
NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA
97,13,31,"NEW","YOR",0,0.107,-0.062,82,32,0,0.247,0.184,1,-1,-1,-1,"-1","New_York",0.44126,0.43426297773777,0.347
NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA
97,13,32,"NEW","YOR",0,0.22,-0.092,82,32,0,0.931,0.717,1,1,1,0,NA,"New_York",0.41809,0.41109297773777,0.831
NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA
97,13,33,"NEW","YOR",0,0.293,-0.12,82,32,0,0.864,0.851,1,1,1,-1,"-1","New_York",0.41698,0.40998297773777,0.764
NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA
97,13,34,"NEW","YOR",0,-0.021,-0.073,82,32,1,0.609,0.555,1,1,0,-1,"-1","New_York",0.52038,0.51338297773777,0.509
NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA
97,47,1,"NORTH","C",0,-0.117,0.253,82,33,0,0.82,NA,1,1,1,1,"1","North_Ca",0.52959,0.458738158260318,0.72
NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA
97,47,2,"NORTH","C",0,0.123,0.149,82,33,0,0.635,0.734,1,0,1,1,"1","North_Ca",0.57012,0.499268158260318,0.635
NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA
97,47,3,"NORTH","C",0,-0.028,0.287,82,33,0,0.639,0.683,1,1,1,1,"1","North_Ca",0.51642,0.445568158260318,0.539
