"congno","sticpsr","cd","stalpha","occup","score1","score2","year","stgj","po","dv","dvp","redist","i2","demqa","i1","demqal","nstate","dpvote","normvote","dvfix","dvpfix"
97,49,4,"TEXAS","0",0.149,0.242,82,43,0,0.745,0.523,1,1,1,0,1,"Texas","0.40691",0.356940583224617,0.645,0.523
97,49,5,"TEXAS","0",-0.166,-0.006,82,43,0,0.658,0.511,1,0,1,1,1,"Texas","0.46209",0.412120583224617,0.658,0.411
97,49,6,"TEXAS","0",0.411,0.127,82,43,0,NA,0.709,1,1,1,1,1,"Texas","0.44469",0.394720583224617,NA,0.609
97,49,7,"TEXAS","0",0.489,-0.041,82,43,0,0.141,0.166,1,-1,-1,-1,-1,"Texas","0.22598",0.176010583224617,0.241,0.266
97,49,8,"TEXAS","0",0.438,0.09,82,43,1,0.429,0.482,1,-1,0,1,1,"Texas","0.53614",0.486170583224617,0.529,0.382
97,49,9,"TEXAS","0",-0.157,0.2,82,43,0,0.691,NA,1,1,1,1,1,"Texas","0.50796",0.457990583224617,0.591,NA
97,49,10,"TEXAS","0",-0.062,0.143,82,43,0,NA,0.604,1,1,1,1,1,"Texas","0.488",0.438030583224617,NA,0.504
97,49,11,"TEXAS","0",0.208,0.39,82,43,0,NA,NA,1,1,1,1,1,"Texas","0.45399",0.404020583224617,NA,NA
97,49,12,"TEXAS","0",-0.215,0.225,82,43,0,0.693,0.604,1,1,1,1,0,"Texas","0.46924",0.419270583224617,0.593,0.504
97,49,13,"TEXAS","0",0.042,0.237,82,43,0,0.643,0.55,1,1,1,1,1,"Texas","0.36236",0.312390583224617,0.543,0.45
97,49,14,"TEXAS","0",0.11,0.261,82,43,1,0.611,0.568,1,1,0,0,1,"Texas","0.4765",0.426530583224617,0.511,0.568
